d1,d2,type
612,195,5
378,715,45
1250,869,6
574,576,9
1040,412,8
874,508,66
1324,403,8
1019,472,34
1253,443,25
627,421,25
930,961,9
1219,1304,9
415,836,25
571,57,61
1021,406,9
750,455,9
1250,961,9
961,1190,9
754,1471,53
910,1122,25
339,1136,5
522,686,25
1001,1510,25
153,99,12
556,1440,25
332,529,75
310,463,45
1062,1207,25
869,304,66
172,1322,9
62,674,66
369,1047,25
804,1341,16
290,443,25
1367,1550,8
369,385,25
555,409,5
583,944,73
105,923,75
1105,220,25
1337,360,8
477,167,75
109,69,5
806,635,25
321,172,5
667,950,25
1050,120,5
1335,1072,9
1321,401,34
181,167,53
1194,230,25
874,1433,5
1446,28,66
1050,915,25
107,932,6
800,24,5
1192,783,9
298,75,53
63,654,75
1202,1057,46
366,1388,66
1320,486,51
263,1322,8
605,317,25
379,641,64
977,850,25
798,888,6
896,989,8
1292,908,75
239,400,25
253,915,25
960,1208,9
607,1028,57
583,499,25
340,862,66
148,713,53
786,970,75
1400,1135,25
216,856,16
561,648,25
147,158,25
366,757,25
1224,157,5
1122,699,14
721,885,5
1375,271,78
296,1062,53
780,291,14
780,474,14
1030,456,12
201,1208,9
1189,81,6
180,1102,9
1050,573,25
718,86,9
734,525,25
1023,956,16
571,256,66
486,974,25
521,681,25
197,221,53
522,242,34
851,403,6
861,955,25
89,560,6
133,889,78
158,910,25
1064,885,5
376,1317,8
312,517,25
155,1215,25
134,1304,9
171,926,34
1128,721,25
271,527,25
1288,26,70
1362,177,25
89,1470,9
309,188,25
977,97,81
585,923,9
1433,472,9
116,499,8
266,827,5
1008,941,8
620,106,34
575,651,25
991,551,9
544,1024,12
80,384,25
574,86,5
24,89,5
436,1064,25
1460,755,66
1394,109,5
1323,1065,12
1164,648,8
930,235,5
376,1164,5
1004,977,25
627,686,25
117,914,6
339,631,9
410,568,25
309,360,6
155,556,9
1245,401,50
193,1168,9
134,116,5
153,256,25
307,27,5
1264,400,15
686,1105,25
683,949,5
1054,871,5
286,172,5
439,458,25
845,825,5
1462,397,25
246,1136,5
344,1248,57
882,885,25
631,911,25
1315,268,75
492,635,25
1026,446,25
598,1127,25
771,888,6
576,436,25
450,1352,25
301,366,25
675,1072,75
1404,190,25
52,248,25
34,259,5
72,680,25
1020,86,5
50,253,9
391,444,5
259,147,6
979,1012,25
960,69,5
160,544,66
783,122,5
746,71,5
1400,225,25
1210,71,9
724,950,5
902,472,25
811,536,77
1295,385,34
555,1026,25
170,127,5
1183,944,25
216,359,16
110,1470,9
331,762,9
528,29,25
1237,1064,9
485,147,6
813,713,47
80,1345,25
1488,463,45
1066,63,75
801,419,25
485,105,5
160,863,25
861,459,5
1289,934,12
1314,881,5
523,944,25
1441,556,66
1188,1164,9
90,484,25
275,116,5
91,622,25
1057,1388,66
444,265,5
1188,827,9
1146,122,5
268,529,75
33,990,66
90,1250,25
1513,147,6
259,1334,75
816,1127,25
976,109,25
1400,475,37
46,484,5
253,1089,25
463,969,8
165,702,12
938,3,25
853,266,12
202,670,53
383,109,5
87,377,12
511,1345,25
380,86,5
952,397,5
202,134,25
439,364,33
363,71,5
378,522,25
713,1218,45
67,454,63
1441,324,66
416,710,66
1375,177,78
152,989,8
520,1328,25
97,1487,8
731,28,5
694,455,9
722,926,51
1198,110,9
162,1177,25
855,214,41
852,59,12
1192,969,9
203,1023,51
394,699,14
1510,713,53
855,950,5
1067,795,25
310,46,9
1378,286,9
911,525,25
1328,950,5
232,221,25
309,306,25
308,124,5
1344,811,9
87,106,34
683,965,25
110,499,25
572,948,47
813,1122,47
302,721,25
580,1536,5
245,838,25
42,153,25
418,632,25
841,674,66
1395,988,5
545,103,45
1268,421,25
1021,1072,9
610,289,5
52,459,25
1250,484,5
394,916,34
36,527,25
943,582,25
1092,953,72
1258,920,71
869,1362,25
525,376,66
724,265,5
888,136,25
1196,888,8
1248,403,6
153,379,25
303,988,12
94,589,9
564,121,62
167,709,25
1240,990,65
511,598,25
1488,1359,25
109,44,5
1165,961,9
674,968,5
284,28,9
249,912,76
525,1541,25
280,171,25
83,59,64
120,1150,25
822,148,5
19,561,8
819,46,5
684,709,39
787,1405,12
914,1353,9
823,1144,25
876,352,25
621,908,75
1055,713,39
1004,1235,66
1146,923,9
1023,124,5
55,938,25
390,290,25
568,515,25
267,544,64
568,315,9
46,1164,9
1452,185,9
287,760,66
1539,286,25
769,658,75
623,85,25
769,353,75
555,803,25
763,1317,5
204,752,5
1450,994,12
148,1127,25
475,289,73
932,943,9
379,988,5
1240,253,25
1071,364,45
380,42,25
947,1128,25
1050,275,25
1386,44,5
1386,127,5
573,1007,25
1049,805,25
631,713,53
926,1240,9
1194,1102,9
120,181,5
124,885,25
75,1539,25
524,5,5
822,1412,9
462,480,25
837,922,66
673,549,78
913,1392,5
282,296,66
694,1159,77
1138,315,12
583,1045,25
288,1433,5
437,1501,12
830,1223,9
219,1304,9
583,1347,25
619,1392,5
388,974,25
1502,1035,45
1029,27,5
673,791,25
454,969,12
933,1240,25
1041,926,34
971,155,5
397,961,9
24,69,5
38,1317,9
1248,989,6
1233,947,25
404,1174,12
1218,691,45
574,974,25
421,147,8
1219,502,9
713,344,25
431,1364,25
308,1331,44
1002,1331,44
771,1384,9
1487,1470,9
754,927,53
243,366,34
588,463,33
683,303,63
911,235,5
869,1085,25
1378,86,9
406,1329,68
339,249,8
134,874,25
156,1139,25
488,119,75
889,762,5
282,824,31
534,1461,9
578,106,34
905,827,5
168,713,53
906,910,25
479,1444,5
1152,81,6
706,761,25
883,710,25
815,1347,66
307,752,5
1110,468,12
827,802,25
1079,684,40
1179,455,9
1334,119,75
657,969,5
1150,1157,25
1506,1349,9
452,168,25
80,486,25
284,124,9
244,60,25
1014,59,66
635,660,58
512,842,63
317,523,25
18,1332,8
303,1088,12
964,403,8
567,1389,25
838,703,66
1202,632,46
1159,1317,5
410,734,25
1416,829,25
239,883,66
72,306,25
1225,168,8
60,321,78
1286,713,9
190,484,5
855,1293,66
889,1079,25
763,86,5
648,1455,3
902,560,25
171,105,5
1324,763,53
188,176,5
60,544,65
331,1227,5
132,968,5
934,484,9
855,1005,66
167,486,25
1550,612,14
185,1224,9
110,1072,5
681,208,5
1507,941,5
614,1253,25
898,105,9
104,137,5
699,138,8
159,463,45
1258,366,34
1064,988,5
461,930,9
444,1413,25
1329,923,9
279,568,25
1192,71,9
605,242,25
1054,1298,39
289,1416,9
770,441,66
253,86,5
800,1501,12
1400,853,25
236,376,25
1434,195,5
27,74,13
1017,105,5
580,926,34
620,922,34
423,286,5
597,1384,9
617,1216,5
171,971,25
49,1322,8
1017,360,6
654,1332,8
378,211,34
624,197,39
395,472,66
380,24,5
346,406,5
1258,27,5
379,190,25
1006,700,53
1065,94,8
1005,1250,66
1422,1072,9
1164,1404,8
702,1416,9
1217,27,5
930,658,5
950,641,25
359,517,9
463,1420,12
481,403,6
1088,968,5
1367,708,9
769,1433,5
713,71,5
713,155,5
158,861,25
694,34,5
312,382,25
177,1139,25
227,626,66
520,709,25
753,943,12
1091,123,63
134,1164,5
623,1332,8
751,212,14
1062,49,5
1184,1146,25
290,1027,53
477,137,9
479,867,5
852,374,5
1328,1208,9
888,713,53
1126,1536,5
891,787,8
354,1416,53
665,286,75
579,772,53
475,835,25
389,106,66
389,863,66
1127,1217,5
900,1536,5
266,122,5
232,1363,25
259,89,75
1526,920,25
633,99,9
439,374,5
1304,484,9
848,403,6
966,943,12
649,944,25
1525,1246,5
418,583,25
673,32,25
74,1139,25
649,384,25
583,1212,75
772,169,25
573,84,25
1422,176,9
70,416,66
397,27,5
544,1462,25
75,654,25
284,1048,53
1219,1208,9
74,124,25
627,3,25
83,475,64
965,718,9
609,892,25
62,862,66
29,125,66
409,923,5
739,654,75
117,691,45
1062,1332,8
1487,657,5
574,1491,14
134,528,25
980,991,64
155,325,25
1248,691,45
1041,0,45
1109,1302,5
188,1223,9
688,1072,5
726,133,25
256,289,73
1041,1167,25
133,835,25
132,46,5
1167,117,45
553,1336,25
179,814,66
492,38,25
107,510,9
1089,105,75
1507,110,5
462,1373,12
219,1348,66
526,1089,25
802,463,45
845,1321,5
842,27,5
1026,310,45
57,214,25
155,106,50
1292,768,75
1314,110,5
892,1422,25
572,562,66
405,1002,72
579,1306,23
560,636,66
1332,1321,5
570,174,25
72,763,25
571,1029,25
311,1414,25
275,602,25
543,989,8
34,968,5
869,441,66
222,167,5
1188,581,41
412,49,5
787,1216,5
1335,147,8
49,38,5
1085,109,77
1452,802,9
216,556,9
199,256,64
813,746,12
762,309,25
452,1394,44
945,314,75
955,500,61
1401,272,25
27,876,25
1545,574,64
380,1136,5
506,256,12
1484,1404,25
528,906,25
185,474,25
1119,932,8
736,770,25
861,560,6
971,1377,9
124,960,25
529,412,5
547,881,5
698,1170,25
1337,475,66
242,1552,12
1023,856,16
874,915,25
524,46,5
971,989,8
1367,837,9
1460,340,66
1192,188,9
1504,1433,5
848,989,6
1450,1212,12
464,286,25
1065,391,9
1386,914,8
1510,549,25
1063,352,25
239,567,25
1378,1225,9
127,883,75
1328,49,5
1510,1150,25
1157,885,5
869,829,25
1157,24,5
889,232,25
295,703,51
848,1377,9
421,360,8
623,1110,5
1414,328,25
1186,1386,53
1324,1391,9
1433,1013,25
426,895,9
404,762,5
1041,807,14
384,1340,25
956,1102,9
397,1026,25
1253,1027,53
381,69,5
162,876,25
426,1257,8
950,1224,9
419,632,25
690,914,6
1048,1150,25
714,1322,9
339,27,9
1248,1117,5
1510,931,25
450,301,50
227,1388,66
193,941,5
1065,1547,9
1128,1370,53
479,903,25
184,1314,68
441,167,25
991,1321,12
271,947,25
1487,679,8
479,1223,9
1484,382,25
268,410,53
702,256,64
1167,86,5
527,1340,25
388,1127,66
1506,122,5
670,374,5
1152,155,5
900,412,25
1344,360,8
282,717,9
1525,1349,9
55,844,12
598,944,25
837,1305,25
989,927,9
649,455,9
28,655,66
1008,459,5
610,92,9
1443,1016,25
75,1177,25
614,1364,25
221,1340,25
431,105,5
1246,94,6
770,1128,25
770,968,5
648,360,8
1453,1072,9
256,416,66
945,1304,9
133,1027,53
36,1057,25
1129,136,25
46,968,5
726,670,25
153,721,25
752,643,75
239,670,53
351,446,25
143,914,6
737,1477,20
153,415,25
824,41,40
1324,694,53
1223,155,5
188,802,25
369,837,25
694,1395,75
955,594,25
156,353,75
954,1186,66
167,755,25
107,848,9
824,650,53
528,852,5
382,1441,25
1210,544,12
1370,110,9
106,33,9
881,193,25
698,314,25
1320,923,9
978,1067,19
106,574,25
319,1296,9
525,527,25
296,400,53
754,1052,53
892,1340,25
485,658,9
691,1241,9
1394,533,82
72,181,25
1407,462,64
416,703,50
571,304,66
401,67,63
1159,301,25
222,1102,9
964,1416,9
294,81,6
343,388,51
465,738,8
761,715,45
585,444,5
619,110,5
1260,488,25
734,1018,8
1441,52,66
366,1164,5
702,299,25
105,310,45
369,444,50
786,768,75
1007,867,25
80,650,53
681,1444,5
1219,321,9
731,853,25
1063,867,25
127,1334,75
1048,1072,5
1526,1459,3
1045,944,25
1026,703,34
1379,658,9
1275,1458,6
1172,969,5
1492,1340,25
1348,827,5
960,416,61
1185,127,5
1017,784,25
1359,786,25
1520,960,78
106,185,83
1186,1364,25
1305,580,25
409,908,75
265,518,5
597,941,75
492,1171,12
572,53,5
754,836,53
1148,862,66
341,695,25
1005,1024,25
388,842,63
340,397,25
769,275,5
36,80,25
339,1227,5
681,812,75
1444,1213,66
150,955,25
